"TYPE_NAME","MIX_TYPE","INGR_CODE","INGR_ENG_NAME","INGR_NAME","MIX_INGR","FORM_NAME","ITEM_SEQ","ITEM_NAME","ITEM_PERMIT_DATE","ENTP_NAME","CHART","CLASS_CODE","CLASS_NAME","ETC_OTC_NAME","MAIN_INGR","NOTIFICATION_DATE","PROHBT_CONTENT","REMARK","INGR_ENG_NAME_FULL","STD_CD"
"노인주의","단일","D000138","Celecoxib","세레콕시브","","경질캡슐제, 산제","201603482","싸이브렉스캡슐100mg(세레콕시브)","20160615","한국휴텍스제약(주)","흰색 내지 미황색의 분말이 충전된 상하 푸른색줄이 있는 흰색의 캡슐제","01140","해열.진통.소염제","전문의약품","[M089149]세레콕시브","2021-07-15","","","Celecoxib(세레콕시브)","8806491030906,8806491030913,8806491030920"
"노인주의","단일","D000138","Celecoxib","세레콕시브","","경질캡슐제, 산제","201603731","뉴셀콕캡슐200mg(세레콕시브)","20160622","오스틴제약(주)","흰색 내지 미황색의 분말이 충전된 상하 노란색줄이 있는 흰색의 캡슐","01140","해열.진통.소염제","전문의약품","[M089149]세레콕시브","2021-07-15","","","Celecoxib(세레콕시브)","8806543051408,8806543051415,8806543051422"
"노인주의","단일","D000138","Celecoxib","세레콕시브","","경질캡슐제, 산제","201603732","뉴셀콕캡슐100mg(세레콕시브)","20160622","오스틴제약(주)","흰색 내지 미황색의 분말이 충전된 상하 파란색줄이 있는 흰색의 캡슐","01140","해열.진통.소염제","전문의약품","[M089149]세레콕시브","2021-07-15","","","Celecoxib(세레콕시브)","8806543051309,8806543051316,8806543051323"
"노인주의","단일","D000138","Celecoxib","세레콕시브","","경질캡슐제, 산제","201604055","아이셀콕캡슐200밀리그램(세레콕시브)","20160629","(주)아이월드제약","흰색내지 미황색의 분말이 충전된 상하 노란색 줄이 있는 흰색의 캡슐제","01140","해열.진통.소염제","전문의약품","[M089149]세레콕시브","2021-07-15","","","Celecoxib(세레콕시브)","8806696047808,8806696047815,8806696047822"
"노인주의","단일","D000138","Celecoxib","세레콕시브","","경질캡슐제, 산제","201604056","아이셀콕캡슐100밀리그램(세레콕시브)","20160629","(주)아이월드제약","흰색내지 미황색의 분말이 충전된 상하 푸른색 줄이 있는 흰색의 캡슐제","01140","해열.진통.소염제","전문의약품","[M089149]세레콕시브","2021-07-15","","","Celecoxib(세레콕시브)","8806696047709,8806696047716,8806696047723,8806696047730"
"노인주의","단일","D000138","Celecoxib","세레콕시브","","필름코팅정","201604942","쎌콕정100밀리그램(세레콕시브)","20160812","환인제약(주)","흰색의 원형 필름코팅정","01140","해열.진통.소염제","전문의약품","[M089149]세레콕시브","2021-07-15","","","Celecoxib(세레콕시브)","8806572029003,8806572029010,8806572029027"
"노인주의","단일","D000138","Celecoxib","세레콕시브","","경질캡슐제, 산제","201704834","콕시원캡슐200밀리그램(세레콕시브)","20170627","(주)중헌제약","흰색 내지 미황색의 분말이 충전된 상하 황색줄이 있는 흰색의 캡슐제","01140","해열.진통.소염제","전문의약품","[M089149]세레콕시브","2021-07-15","","","Celecoxib(세레콕시브)","8800533001503,8800533001510,8800533001527,8800533001534,8800533001541"
"노인주의","단일","D000138","Celecoxib","세레콕시브","","경질캡슐제, 산제","201705172","셀코빅스캡슐200밀리그램(세레콕시브)","20170630","신일제약(주)","흰색 내지 연노란색의 분말이 충진된 상하 황색 줄이 있는 흰색의 불투명한 경질캡슐제","01140","해열.진통.소염제","전문의약품","[M089149]세레콕시브","2021-07-15","","","Celecoxib(세레콕시브)","8806538052502,8806538052519,8806538052526"
"노인주의","단일","D000138","Celecoxib","세레콕시브","","경질캡슐제, 산제","201706790","랙시브캡슐100밀리그램(세레콕시브)","20170823","(주)한국피엠지제약","흰색 내지 연노란색의 분말이 든 푸른색 줄이 있는 상,하부 흰색의 경질캡슐","01140","해열.진통.소염제","전문의약품","[M089149]세레콕시브","2021-07-15","","","Celecoxib(세레콕시브)","8806971007305,8806971007312,8806971007329"
"노인주의","단일","D000138","Celecoxib","세레콕시브","","경질캡슐제, 산제","201706853","셀브렉캡슐100밀리그램(세레콕시브)","20170828","동국제약(주)","흰색 내지 미황색의 분말이 충전된 상하 푸른색 줄이 있는 흰색의 캡슐제","01140","해열.진통.소염제","전문의약품","[M089149]세레콕시브","2021-07-15","","","Celecoxib(세레콕시브)","8806534038807,8806534038814,8806534038821"
